Content Name,File Name,Summary,Learning Outcomes,"##SUBSTITUTE(D2,CHAR(10),""."")UTE(D2,CHAR(10),""."")##"
Maths GCSE Resits - 2D Shapes Area and Perimeter,2D Shapes (Area and Perimeter).zip,"Maths GCSE revision covering 2D shapes’ symmetry, tessellation, properties, congruence, similarity, perimeters and area.","Identify lines of symmetry and which 2D shapes tessellate
Name the properties of 2D shapes
Identify congruence and similarity of shapes
Be able to calculate the perimeter and area of a 2D shape",Identify lines of symmetry and which 2D shapes tessellate.Name the properties of 2D shapes.Identify congruence and similarity of shapes.Be able to calculate the perimeter and area of a 2D shape
Numeracy Entry Level 3 - 2D Shapes,2D shapes.zip,"Learn about 2D shapes, how to identify, a range of common 2d shapes, shapes in the real world and the properties of common 2D shapes. This course is ideal for intermediate learners. ","Identify a range of common 2D shapes
Identify shapes in the real world
Identify the properties of common 2D shapes","Identify a range of common 2D shapes.Identify shapes in the real world.Identify the properties of common 2D shapes"
Maths Level 1 - 2D Shapes,2-D Shapes.zip,"Learn about 2D shapes, specifically indetifying the regular and irregular polygons and describing the characteristics of 2D shapes. This course is ideal for beginners. ","Identify the regular and irregular polygons
Describe the characteristics of 2D shapes","Identify the regular and irregular polygons.Describe the characteristics of 2D shapes"
Maths GCSE Resits - 3D Shapes Nets and Volume,3D Shapes (Nets and Volume).zip,"Maths GCSE revision covering 3D shape properties, volume, nets and projections.","Recognise 3D shapes and their properties
Be able to calculate volumes of solids
Distinguish the nets of shapes
Recognise 3D shape projections from various viewpoints",Recognise 3D shapes and their properties.Be able to calculate volumes of solids.Distinguish the nets of shapes.Recognise 3D shape projections from various viewpoints
Numeracy Entry Level 3 - 3D Shapes,3D Shapes.zip,"Learn about 3D shapes, how to identify common 3D shapes, the properties of common 3D shapes and common 3D shapes in the real world. This course is ideal for intermediate learners. ","Identify common 3D shapes
Describe the properties of common 3D shapes
Identify common 3D shapes in the real world",Identify common 3D shapes.Describe the properties of common 3D shapes.Identify common 3D shapes in the real world
Maths Level 1 - 3D Shapes,3-D Shapes.zip,"Learn about 3D shapes, specifically identifying and describing different 2D shapes. This course is ideal for beginners. ","Distinguish between polyhedron and non-polyhedron solids
Identify platonic solids, prisms and pyramids
Describe the characteristics of 2D shapes in terms of faces, edges and vertices ","Distinguish between polyhedron and non-polyhedron solids.Identify platonic solids, prisms and pyramids.Describe the characteristics of 2D shapes in terms of faces, edges and vertices "
4 Principles of Health and Social Care,The 4 Principles of Health and Social Care Ethics.zip,Learn about the 4 principles of health and care. This course is ideal for intermediate learners.,The four principles of ethics in health and social care practice.,The four principles of ethics in health and social care practice.
Abuse,Abuse.zip,Learn about the different kinds of abuse and when it might occure in health and care. This course is ideal for intermediate learners.,Being aware of abusive behaviour as a professional working in the health and social care sector,Being aware of abusive behaviour as a professional working in the health and social care sector
Accident and Illness,Accident And Illness In Health And Safety.zip,Learn about what accident and illness you might encounter in health and care. This course is ideal for intermediate learners.,"Accident and Illness Reporting 
Responding to Accidents and Illness
 Hazards in H&C Environments 
Hazardous Substances 
","Accident and Illness Reporting .Responding to Accidents and Illness. Hazards in H&C Environments .Hazardous Substances ."
Literacy Entry Level 3 - Active and passive voice,Active and passive voice.zip,"Learn about active and passive voice, what a verb is, what the passive and active voice is and when and where we use them. This course is ideal for intermediate learners. ","Know what a verb is
Understand what the passive voice is
Understand what the active voice is
Know when and where we use active and passive voices",Know what a verb is.Understand what the passive voice is.Understand what the active voice is.Know when and where we use active and passive voices
Maths Level 1 - Addition,Addition.zip,"Learn about addition and the methods that can be used, number line, formal written and splitting methods. This course is ideal for beginners. ","Number line method
Formal written method
Splitting method",Number line method.Formal written method.Splitting method
Numeracy Entry Level 3 - Addition,Addition.zip,"Learn about addition, adding 3 digit numbers and adding using a range of methods. This course is ideal for intermediate learners. ","Add 3 digit numbers
Add using a range of methods",Add 3 digit numbers.Add using a range of methods
English Level 2 - Adjectives,Adjectives.zip,Learn about adjectives and where they should be placed. This course is ideal for intermediate learners. ,"Adjectives
Adjective endings
Adjective positions",Adjectives.Adjective endings.Adjective positions
Literacy Entry Level 3 - Adjectives,Adjectives.zip,"Learn about adjectives, what it is, what a comparative and superlative adjectives are and when to use different types of adjectives. This course is ideal for intermediate learners. ","Understand  what an adjective is
Understand what a comparative adjective is
Understand what a superlative adjective is
Know when to use different types of adjectives",Understand  what an adjective is.Understand what a comparative adjective is.Understand what a superlative adjective is.Know when to use different types of adjectives
English Level 2 - Adverbs,Adverbs.zip,Learn about adverbs and how they are used. This course is ideal for intermediate learners. ,"Adverbs
Turning adjectives into adverbs
Adverb positions","Adverbs.Turning adjectives into adverbs.Adverb positions"
Public Services Level 3 - Affordable housing policy - case study,Affordable housing policy.zip,Learn about affordbable housing policy case study. This course is ideal for intermediate learners.,Affordable housing policies,Affordable housing policies
Maths GCSE Resits - Algebra Basics,Algebra Basics.zip,"Maths GCSE revision of simplifying/multiplying terms, multiplying out of brackets, factorising and substituting values.","Be able to simplify terms
Demonstrate multiplying terms and multiplying out of brackets
Be able to factorise and substitues values",Be able to simplify terms.Demonstrate multiplying terms and multiplying out of brackets.Be able to factorise and substitues values
Literacy Entry Level 3 - Alliteration and Onomatopoeia,Alliteration and Onomatopoeia.zip,"Learn about alliteration and onomatopoeia, what they are, how and when to use alliteration, examples of onomatopoeia and how to use it in writing. This course is ideal for intermediate learners. ","Know what alliteration is
Understand how and when to use alliteration
Know what onomatopoeia is
Know some common examples of onomatopoeia 
Understand how to use onomatopoeia in writing","Know what alliteration is.Understand how and when to use alliteration.Know what onomatopoeia is.Know some common examples of onomatopoeia .Understand how to use onomatopoeia in writing"
Maths Level 1 - Angles,Angles.zip,Learn about angles and the important basics of working with them. This course is ideal for beginners. ,"Identify types of angle (including acute, obtuse and reflex angles)
Identify and label angles
Know how to use a protractor to measure angles","Identify types of angle (including acute, obtuse and reflex angles).Identify and label angles.Know how to use a protractor to measure angles"
